First name,Last name,Position,State,Zip,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction
Fraval, Maruk ,Area Sales Manager,CT,6050,08/28/63,M ,Single,6/9/2011,,N/A - still employed,Active,Sales,Lynn Daneault,Monster.com,Fully Meets,1.64,3
Givens, Myriam,Area Sales Manager,IN,46204,09/22/89,F,Single,2/16/2015,,N/A - still employed,Active,Sales,Lynn Daneault,Pay Per Click - Google,Fully Meets,1.72,5
Jeremy,Prater,Area Sales Manager,NV,89139,9/5/1974,M ,Married,12/5/2014,,N/A - still employed,Active,Sales,Lynn Daneault,Website Banner Ads,PIP,1.81,2
Khemmich, Bartholemew,Area Sales Manager,CO,80820,11/27/79,M ,Single,8/19/2013,,N/A - still employed,Active,Sales,Lynn Daneault,Pay Per Click - Google,Fully Meets,2.19,5
Martins, Joseph,Area Sales Manager,TX,78207,11/6/1970,M ,Single,5/14/2012,,N/A - still employed,Active,Sales,Lynn Daneault,Employee Referral,Fully Meets,2.94,5
McKinzie, Jac,Area Sales Manager,TX,78789,1/7/1984,M ,Married,6/7/2016,,N/A - Has not started yet,Future Start,Sales,Lynn Daneault,Website Banner Ads,Fully Meets,2.91,4
Nguyen, Dheepa,Area Sales Manager,GA,30428,03/31/89,F,Single,8/7/2013,,N/A - still employed,Active,Sales,Lynn Daneault,Pay Per Click - Google,Fully Meets,5.00,5
Onque, Jasmine,Area Sales Manager,FL,33174,11/5/1990,F,Single,9/30/2013,,N/A - still employed,Active,Sales,Lynn Daneault,Pay Per Click - Google,Fully Meets,4.28,3
Potts, Xana,Area Sales Manager,KY,40220,08/29/88,F,Married,9/1/2012,,N/A - still employed,Active,Sales,Lynn Daneault,Website Banner Ads,Fully Meets,4.20,5
Riordan, Michael,Area Sales Manager,ND,58782,01/15/68,M ,Separated,9/1/2006,,N/A - still employed,Active,Sales,Lynn Daneault,Billboard,Exceeds,4.10,3
Terry, Sharlene ,Area Sales Manager,OR,97756,7/5/1965,F,Single,9/29/2014,,N/A - still employed,Active,Sales,Lynn Daneault,Monster.com,Fully Meets,3.69,3
Rachael, Maggie,BI Developer,MA,2110,12/5/1980,F,Married,2/10/2016,,N/A - still employed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,2.02,4
Smith, Jason,BI Developer,MA,2045,4/9/1983,M ,Single,2/15/2017,,N/A - still employed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,3.01,5
Westinghouse, Matthew,BI Developer,MA,2134,10/24/87,M ,Married,4/20/2017,,N/A - still employed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,1.82,3
Hubert, Robert,BI Developer,MA,2134,06/30/89,M ,Married,4/20/2017,,N/A - still employed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,2.06,5
Champaigne, Brian,BI Director,MA,2045,9/2/1972,M ,Married,6/9/2016,,N/A - still employed,Active,IT/IS,Jennifer Zamora,Professional Society,Fully Meets,4.50,5
Zamora, Jennifer,CIO,MA,2067,08/30/79,F,Single,10/4/2010,,N/A - still employed,Active,IT/IS,Janet King,Employee Referral,Exceeds,1.12,5
Roper, Katie,Data Architect,MA,2056,11/21/72,F,Single,7/1/2017,,N/A - still employed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,4.94,3
Becker, Renee,Database Administrator,MA,2026,4/4/1986,F,Single,7/7/2014,12/9/2015,performance,Terminated for Cause,IT/IS,Simon Roup,Search Engine - Google Bing Yahoo,Fully Meets,1.87,4
Goble, Taisha,Database Administrator,MA,2127,10/23/71,F,Single,2/16/2015,03/15/15,"no-call, no-show",Terminated for Cause,IT/IS,Simon Roup,Glassdoor,Fully Meets,1.87,4
Hernandez, Daniff,Database Administrator,MA,1960,7/8/1986,M ,Married,2/16/2015,02/22/15,"no-call, no-show",Terminated for Cause,IT/IS,Simon Roup,Employee Referral,Fully Meets,4.33,3
Horton, Jayne,Database Administrator,MA,2493,02/21/84,F,Single,3/30/2015,,N/A - still employed,Active,IT/IS,Simon Roup,Glassdoor,Fully Meets,4.48,5
Johnson, Noelle ,Database Administrator,MA,2301,7/11/1986,F,Married,5/1/2015,,N/A - still employed,Leave of Absence,IT/IS,Simon Roup,Glassdoor,Fully Meets,3.75,3
Murray, Thomas,Data Analyst,TX,78230,4/7/1988,M ,Divorced,10/11/2014,,N/A - still employed,Active,IT/IS,Simon Roup,Diversity Job Fair,Exceeds,4.28,4
Pearson, Randall,Data Analyst,MA,2747,5/9/1984,M ,Married,1/12/2014,1/5/2016,performance,Voluntarily Terminated,IT/IS,Simon Roup,Employee Referral,Fully Meets,1.62,4
Petrowsky, Thelma,Data Analyst,MA,1886,09/16/84,F,Married,10/11/2014,,N/A - still employed,Active,IT/IS,Simon Roup,Employee Referral,Exceeds,3.71,5
Roby, Lori ,Data Analyst,MA,1886,11/10/1981,F,Married,2/16/2015,,N/A - still employed,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,3.69,5
Rogers, Ivan,Data Analyst,MA,1810,08/26/86,M ,Married,3/30/2015,,N/A - still employed,Active,IT/IS,Simon Roup,Pay Per Click - Google,Fully Meets,3.04,3
Salter, Jason,Data Analyst ,MA,2452,12/17/87,M ,Divorced,5/1/2015,10/31/15,hours,Voluntarily Terminated,IT/IS,Simon Roup,Vendor Referral,Fully Meets,2.19,3
Simard, Kramer,Data Analyst,MA,2110,8/2/1970,M ,Married,5/1/2015,,N/A - still employed,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,3.32,3
Zhou, Julia,Data Analyst,MA,2148,02/24/79,F,Single,3/30/2015,,N/A - still employed,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,5.00,3
Bramante, Elisa,Director of Operations,MA,2030,03/19/83,F,Single,5/1/2009,,N/A - still employed,Active,Production       ,Janet King,Other,Exceeds,3.02,5
Houlihan, Debra,Director of Sales,RI,2908,03/17/66,F,Married,5/5/2014,,N/A - still employed,Active,Sales,Janet King,MBTA ads,Fully Meets,1.22,4
Foss, Jason,IT Director,MA,1460,5/7/1980,M ,Single,4/15/2011,,N/A - still employed,Active,IT/IS,Jennifer Zamora,Professional Society,Exceeds,3.76,5
Roup,Simon,IT Manager - DB,MA,2481,5/4/1973,M ,Single,1/20/2013,,N/A - still employed,Active,IT/IS,Jennifer Zamora,Professional Society,Fully Meets,2.96,5
Ruiz, Ricardo,IT Manager - DB,MA,1915,4/1/1964,M ,Divorced,9/1/2012,4/11/2015,hours,Voluntarily Terminated,IT/IS,Jennifer Zamora,Diversity Job Fair,Fully Meets,2.51,4
Monroe, Peter,IT Manager - Infra,MA,2134,5/10/1986,M ,Married,2/15/2012,,N/A - still employed,Active,IT/IS,Jennifer Zamora,Diversity Job Fair,Needs Improvement,2.39,3
Dougall, Eric,IT Manager - Support,MA,1886,9/7/1970,M ,Single,5/1/2014,,N/A - still employed,Active,IT/IS,Jennifer Zamora,Professional Society,Exceeds,1.99,5
Clayton, Rick,IT Support,MA,2170,5/9/1985,M ,Single,5/9/2012,,N/A - still employed,Active,IT/IS,Eric Dougall,Glassdoor,Fully Meets,2.55,3
Galia, Lisa,IT Support,CT,6040,6/7/1968,F,Single,1/5/2010,,N/A - still employed,Active,IT/IS,Eric Dougall,Vendor Referral,Fully Meets,1.21,4
Lindsay, Leonara ,IT Support,CT,6070,5/10/1988,F,Single,1/21/2011,,N/A - still employed,Active,IT/IS,Eric Dougall,Diversity Job Fair,Exceeds,4.64,4
Soto, Julia ,IT Support,MA,2360,12/3/1973,F,Married,10/6/2011,,N/A - still employed,Active,IT/IS,Eric Dougall,Information Session,Fully Meets,4.30,3
Bacong, Alejandro ,IT Support,MA,1886,7/1/1988,M ,Divorced,5/1/2015,,N/A - still employed,Active,IT/IS,Peter Monroe,Glassdoor,Fully Meets,1.84,5
Cisco, Anthony,IT Support,MA,2135,11/24/89,M ,Married,3/30/2015,,N/A - still employed,Active,IT/IS,Peter Monroe,Information Session,Fully Meets,2.21,5
Dolan, Linda,IT Support,MA,2119,07/18/88,F,Married,5/1/2015,,N/A - still employed,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.11,4
Gonzalez, Maria,IT Support,MA,2472,04/16/81,F,Separated,5/1/2015,,N/A - still employed,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.61,4
Merlos, Carlos,Network Engineer,MA,2138,06/18/87,M ,Single,3/30/2015,,N/A - still employed,Active,IT/IS,Peter Monroe,Vendor Referral,PIP,1.20,3
Morway, Tanya,Network Engineer,MA,2048,4/4/1979,F,Married,2/16/2015,,N/A - still employed,Active,IT/IS,Peter Monroe,Monster.com,Fully Meets,3.81,3
Shepard, Anita ,Network Engineer,MA,1773,04/14/81,F,Married,9/30/2014,,N/A - still employed,Active,IT/IS,Peter Monroe,Vendor Referral,Fully Meets,3.31,3
Tredinnick, Neville ,Network Engineer,MA,1420,5/5/1988,M ,Married,5/1/2015,12/5/2015,medical issues,Voluntarily Terminated,IT/IS,Peter Monroe,Monster.com,Fully Meets,5.00,3
Turpin, Jumil,Network Engineer,MA,2343,03/31/69,M ,Married,3/30/2015,,N/A - still employed,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,5.00,4
King, Janet,President & CEO,MA,1902,09/21/54,F,Married,2/7/2012,,N/A - still employed,Active,Executive Office,Board of Directors,Pay Per Click - Google,Fully Meets,4.83,3
Albert, Michael  ,Production Manager,MA,2169,10/10/1968,M ,Divorced,1/8/2011,,N/A - still employed,Active,Production       ,Janet King,Employee Referral,Fully Meets,3.93,3
Bozzi, Charles,Production Manager,MA,1901,10/3/1970,M ,Single,9/30/2013,7/8/2014,retiring,Voluntarily Terminated,Production       ,Janet King,Billboard,Fully Meets,3.39,3
Butler, Webster  L,Production Manager,MA,2169,9/8/1983,M ,Single,1/28/2016,,N/A - still employed,Active,Production       ,Janet King,Pay Per Click - Google,Exceeds,5.00,3
Dunn, Amy  ,Production Manager,MA,1731,11/28/73,F,Single,9/18/2014,,N/A - still employed,Active,Production       ,Janet King,Search Engine - Google Bing Yahoo,Fully Meets,4.52,4
Gray, Elijiah  ,Production Manager,MA,1752,11/7/1981,M ,Divorced,2/6/2015,,N/A - still employed,Active,Production       ,Janet King,Employee Referral,Fully Meets,4.63,3
Hogland, Jonathan ,Production Manager,MA,1890,1/7/1972,M ,Married,10/1/2011,12/12/2015,attendance,Terminated for Cause,Production       ,Janet King,Employee Referral,Fully Meets,4.78,4
Immediato, Walter,Production Manager,MA,2128,11/15/76,M ,Married,2/21/2011,09/24/12,unhappy,Voluntarily Terminated,Production       ,Janet King,Other,Needs Improvement,2.34,2
Liebig, Ketsia,Production Manager,MA,2110,10/26/81,F,Married,9/30/2013,,N/A - still employed,Active,Production       ,Janet King,Website Banner Ads,Exceeds,3.66,3
Miller, Brannon,Production Manager,MA,2045,10/8/1981,M ,Single,8/16/2012,,N/A - still employed,Active,Production       ,Janet King,Internet Search,Fully Meets,4.37,3
Peterson, Ebonee  ,Production Manager,MA,2030,9/5/1977,F,Married,10/25/2010,05/18/16,Another position,Voluntarily Terminated,Production       ,Janet King,Internet Search,Fully Meets,4.16,5
Spirea, Kelley,Production Manager,MA,2451,09/30/75,F,Married,2/10/2012,,N/A - still employed,Active,Production       ,Janet King,Vendor Referral,Fully Meets,4.83,5
Stanley, David ,Production Manager,MA,1803,12/17/75,M ,Divorced,7/20/2010,,N/A - still employed,Active,Production       ,Janet King,Monster.com,Needs Improvement,4.13,2
Sullivan, Kissy ,Production Manager,MA,1776,03/28/78,F,Married,8/1/2009,,N/A - still employed,Active,Production       ,Janet King,Billboard,Fully Meets,3.73,4
Wallace, Courtney  E,Production Manager,MA,2478,11/14/55,F,Married,9/26/2011,2/1/2012,Another position,Voluntarily Terminated,Production       ,Janet King,Diversity Job Fair,Fully Meets,1.18,3
Anderson, Linda  ,Production Technician I,MA,1844,05/22/77,F,Single,9/1/2012,,N/A - still employed,Active,Production       ,Amy Dunn,MBTA ads,Exceeds,5.00,5
Bernstein, Sean,Production Technician I,MA,2072,12/22/70,M ,Single,2/4/2012,,N/A - still employed,Active,Production       ,Amy Dunn,Word of Mouth,Fully Meets,5.00,3
Chivukula, Enola,Production Technician I,MA,1775,08/27/83,F,Single,6/27/2011,11/15/15,relocation out of area,Voluntarily Terminated,Production       ,Amy Dunn,Other,Fully Meets,2.00,4
Desimone, Carl ,Production Technician I,MA,2061,04/19/67,M ,Married,7/7/2014,,N/A - still employed,Active,Production       ,Amy Dunn,Professional Society,PIP,1.12,2
Fernandes, Nilson  ,Production Technician I,MA,2132,10/18/89,M ,Married,11/5/2015,,N/A - still employed,Active,Production       ,Amy Dunn,Professional Society,PIP,1.56,5
Girifalco, Evelyn,Production Technician I,MA,2451,8/5/1980,F,Single,9/29/2014,,N/A - still employed,Active,Production       ,Amy Dunn,Professional Society,Exceeds,3.39,4
Harrison, Kara,Production Technician I,MA,1886,2/5/1974,F,Married,12/5/2014,,N/A - still employed,Active,Production       ,Amy Dunn,Monster.com,Exceeds,4.76,4
Kirill, Alexandra  ,Production Technician I,MA,2127,8/10/1970,F,Married,9/26/2011,9/1/2012,more money,Voluntarily Terminated,Production       ,Amy Dunn,Search Engine - Google Bing Yahoo,Fully Meets,3.49,4
MacLennan, Samuel,Production Technician I,MA,1938,9/11/1972,M ,Widowed,9/24/2012,09/26/12,hours,Voluntarily Terminated,Production       ,Amy Dunn,Pay Per Click,Fully Meets,3.08,4
Ndzi, Horia,Production Technician I,MA,2421,03/28/83,M ,Married,1/4/2013,05/25/16,more money,Voluntarily Terminated,Production       ,Amy Dunn,Employee Referral,Fully Meets,3.18,3
Perry, Shakira,Production Technician I,MA,2176,07/20/86,F,Single,5/16/2011,10/25/15,medical issues,Voluntarily Terminated,Production       ,Amy Dunn,MBTA ads,Fully Meets,3.45,4
Robinson, Alain  ,Production Technician I,MA,1420,7/1/1974,M ,Married,10/1/2011,01/26/16,attendance,Voluntarily Terminated,Production       ,Amy Dunn,Glassdoor,Fully Meets,5.00,3
Shields, Seffi,Production Technician I,MA,2149,08/24/85,F,Married,8/19/2013,,N/A - still employed,Active,Production       ,Amy Dunn,Newspager/Magazine,Fully Meets,4.81,4
Theamstern, Sophia,Production Technician I,MA,2066,9/5/1965,F,Single,5/7/2011,5/9/2011,return to school,Voluntarily Terminated,Production       ,Amy Dunn,Billboard,Fully Meets,3.98,4
Wilber, Barry,Production Technician I,MA,2324,9/9/1965,M ,Married,5/16/2011,7/9/2015,unhappy,Voluntarily Terminated,Production       ,Amy Dunn,Website Banner Ads,Fully Meets,5.00,3
Bachiochi, Linda,Production Technician I,MA,1902,11/2/1970,F,Single,6/7/2009,,N/A - still employed,Leave of Absence,Production       ,Brannon Miller,Diversity Job Fair,Fully Meets,4.46,3
Billis, Helen,Production Technician I,MA,2031,1/9/1989,F,Married,7/7/2014,,N/A - still employed,Active,Production       ,Brannon Miller,Professional Society,Exceeds,5.00,3
Clukey, Elijian,Production Technician I,MA,2134,08/26/80,M ,Married,6/7/2016,,N/A - Has not started yet,Future Start,Production       ,Brannon Miller,Employee Referral,Exceeds,1.97,4
DiNocco, Lily ,Production Technician I,MA,2351,2/12/1978,F,Married,7/1/2013,,N/A - still employed,Active,Production       ,Brannon Miller,Pay Per Click - Google,Needs Improvement,3.88,4
Fidelia,  Libby,Production Technician I,MA,2155,03/16/81,F,Married,9/1/2012,,N/A - still employed,Active,Production       ,Brannon Miller,Social Networks - Facebook Twitter etc,Fully Meets,5.00,5
Gonzalez, Cayo,Production Technician I,MA,2108,09/29/69,M ,Divorced,11/7/2011,,N/A - still employed,Active,Production       ,Brannon Miller,Diversity Job Fair,Exceeds,1.83,4
Ivey, Rose ,Production Technician I,MA,1775,01/28/91,F,Single,8/19/2013,,N/A - still employed,Active,Production       ,Brannon Miller,Professional Society,Fully Meets,3.99,3
Kretschmer, John,Production Technician I,MA,1801,2/2/1980,M ,Married,10/1/2011,,N/A - still employed,Active,Production       ,Brannon Miller,Pay Per Click - Google,Fully Meets,3.38,3
Mangal, Debbie,Production Technician I,MA,2451,7/11/1974,F,Married,11/11/2013,,N/A - still employed,Active,Production       ,Brannon Miller,On-campus Recruiting,Fully Meets,1.04,3
Ngodup, Shari ,Production Technician I,MA,1810,3/6/1967,F,Separated,1/4/2013,,N/A - still employed,Active,Production       ,Brannon Miller,Diversity Job Fair,Exceeds,1.12,3
Pham, Hong,Production Technician I,MA,2451,6/3/1988,M ,Married,5/7/2011,11/30/12,more money,Voluntarily Terminated,Production       ,Brannon Miller,Search Engine - Google Bing Yahoo,Fully Meets,5.00,3
Robinson, Elias,Production Technician I,MA,1730,01/28/85,M ,Widowed,8/7/2013,,N/A - still employed,Active,Production       ,Brannon Miller,Employee Referral,Exceeds,3.02,5
Sparks, Taylor  ,Production Technician I,MA,2093,07/20/68,F,Married,2/20/2012,,N/A - still employed,Active,Production       ,Brannon Miller,Billboard,PIP,4.11,2
Tippett, Jeanette,Production Technician I,MA,2093,5/6/1967,F,Divorced,2/18/2013,,N/A - still employed,Active,Production       ,Brannon Miller,Billboard,Fully Meets,4.21,5
Ybarra, Catherine ,Production Technician I,MA,2458,4/5/1982,F,Single,2/9/2008,09/29/15,Another position,Voluntarily Terminated,Production       ,Brannon Miller,Search Engine - Google Bing Yahoo,PIP,4.29,2
Baczenski, Rachael  ,Production Technician I,MA,1902,12/1/1974,F,Married,10/1/2011,12/1/2011,Another position,Voluntarily Terminated,Production       ,David Stanley,Diversity Job Fair,Fully Meets,1.79,4
Brill, Donna,Production Technician I,MA,1701,08/24/90,F,Married,2/4/2012,06/15/13,Another position,Voluntarily Terminated,Production       ,David Stanley,Search Engine - Google Bing Yahoo,Fully Meets,3.35,4
Cockel, James,Production Technician I,MA,2452,8/9/1977,M ,Single,8/7/2013,,N/A - still employed,Active,Production       ,David Stanley,Employee Referral,Fully Meets,1.51,5
Dobrin, Denisa  S,Production Technician I,MA,2125,7/10/1986,F,Single,2/4/2012,,N/A - still employed,Active,Production       ,David Stanley,Monster.com,Fully Meets,2.79,5
Garcia, Raul,Production Technician I,MA,1905,09/15/85,M ,Single,3/30/2015,,N/A - still employed,Active,Production       ,David Stanley,Employee Referral,Fully Meets,4.50,3
Gordon, David,Production Technician I,MA,2169,05/21/79,M ,Married,2/7/2012,,N/A - still employed,Active,Production       ,David Stanley,MBTA ads,Fully Meets,5.00,3
Jackson, Maryellen,Production Technician I,MA,2081,11/9/1972,F,Single,5/11/2012,,N/A - still employed,Active,Production       ,David Stanley,Newspager/Magazine,Fully Meets,2.32,3
Langton, Enrico,Production Technician I,MA,2048,9/12/1986,M ,Married,9/7/2012,,N/A - still employed,Active,Production       ,David Stanley,Newspager/Magazine,Fully Meets,5.00,5
Maurice, Shana,Production Technician I,MA,2330,11/22/77,F,Married,5/31/2011,,N/A - still employed,Active,Production       ,David Stanley,Other,Fully Meets,5.00,4
Nguyen, Lei-Ming,Production Technician I,MA,2132,7/7/1984,F,Single,8/7/2013,,N/A - still employed,Active,Production       ,David Stanley,Vendor Referral,Fully Meets,2.79,5
Pitt, Brad ,Production Technician I,MA,2451,11/23/81,M ,Single,5/11/2007,,N/A - still employed,Active,Production       ,David Stanley,Search Engine - Google Bing Yahoo,Fully Meets,3.66,3
Rose, Ashley  ,Production Technician I,MA,1886,5/12/1974,F,Separated,6/1/2014,,N/A - still employed,Active,Production       ,David Stanley,Website Banner Ads,Fully Meets,5.00,4
Squatrito, Kristen,Production Technician I,MA,2359,03/26/73,F,Divorced,5/13/2013,06/29/15,unhappy,Voluntarily Terminated,Production       ,David Stanley,MBTA ads,Exceeds,1.97,4
Trang, Mei,Production Technician I,MA,2021,05/16/83,F,Single,2/17/2014,,N/A - still employed,Active,Production       ,David Stanley,Professional Society,Needs Improvement,2.44,5
Zima, Colleen,Production Technician I,MA,1730,08/17/78,F,Widowed,9/29/2014,,N/A - still employed,Active,Production       ,David Stanley,On-campus Recruiting,Fully Meets,1.24,5
Alagbe,Trina,Production Technician I,MA,1886,09/27/88,F,Married,7/1/2008,,N/A - still employed,Active,Production       ,Elijiah Gray,Billboard,Fully Meets,4.84,5
Beatrice, Courtney ,Production Technician I,MA,1915,10/27/70,F,Single,4/4/2011,,N/A - still employed,Active,Production       ,Elijiah Gray,Search Engine - Google Bing Yahoo,Fully Meets,5.00,5
Chan, Lin,Production Technician I,MA,2170,12/2/1979,F,Single,12/5/2014,,N/A - still employed,Active,Production       ,Elijiah Gray,Internet Search,Fully Meets,2.73,4
Darson, Jene'ya ,Production Technician I,MA,2110,5/11/1978,F,Married,2/7/2012,,N/A - still employed,Active,Production       ,Elijiah Gray,Billboard,Fully Meets,5.00,3
Evensen, April,Production Technician I,MA,2458,6/5/1989,F,Single,2/17/2014,02/25/14,"no-call, no-show",Terminated for Cause,Production       ,Elijiah Gray,Word of Mouth,Needs Improvement,1.04,3
Gerke, Melisa,Production Technician I,MA,2330,05/15/70,F,Divorced,7/11/2011,11/15/11,hours,Voluntarily Terminated,Production       ,Elijiah Gray,Diversity Job Fair,Fully Meets,4.24,4
Harrell, Ludwick,Production Technician I,MA,1776,2/9/1982,M ,Married,5/14/2012,,N/A - still employed,Active,Production       ,Elijiah Gray,Search Engine - Google Bing Yahoo,Fully Meets,1.83,3
Jung, Judy  ,Production Technician I,MA,2446,04/17/86,F,Married,10/1/2011,1/4/2016,unhappy,Voluntarily Terminated,Production       ,Elijiah Gray,Monster.com,Fully Meets,4.00,4
Lydon, Allison,Production Technician I,MA,2122,10/22/75,F,Married,2/16/2015,,N/A - still employed,Leave of Absence,Production       ,Elijiah Gray,Website Banner Ads,Fully Meets,5.00,3
Motlagh,  Dawn,Production Technician I,MA,2453,7/7/1984,F,Divorced,1/4/2013,,N/A - still employed,Active,Production       ,Elijiah Gray,MBTA ads,Fully Meets,1.76,4
Panjwani, Nina,Production Technician I,MA,2351,1/5/1979,F,Married,7/2/2011,12/1/2014,Another position,Voluntarily Terminated,Production       ,Elijiah Gray,Social Networks - Facebook Twitter etc,Fully Meets,3.89,4
Rhoads, Thomas,Production Technician I,MA,2176,07/22/82,M ,Divorced,5/16/2011,01/15/16,retiring,Voluntarily Terminated,Production       ,Elijiah Gray,Professional Society,Fully Meets,5.00,4
Sander, Kamrin,Production Technician I,MA,2154,10/7/1988,F,Married,9/29/2014,,N/A - still employed,Active,Production       ,Elijiah Gray,On-campus Recruiting,Fully Meets,3.51,3
Sutwell, Barbara,Production Technician I,MA,2718,08/15/68,F,Single,5/14/2012,,N/A - still employed,Active,Production       ,Elijiah Gray,Glassdoor,Fully Meets,2.77,5
Wallace, Theresa,Production Technician I,MA,1887,2/8/1980,F,Single,8/13/2012,1/9/2015,career change,Voluntarily Terminated,Production       ,Elijiah Gray,Monster.com,Needs Improvement,1.27,3
Barone, Francesco  A,Production Technician I,MA,1810,07/20/83,M ,Single,2/20/2012,,N/A - still employed,Active,Production       ,Kelley Spirea,Social Networks - Facebook Twitter etc,Fully Meets,1.41,4
Carey, Michael  ,Production Technician I,MA,1701,2/2/1983,M ,Single,3/31/2014,,N/A - still employed,Active,Production       ,Kelley Spirea,MBTA ads,Fully Meets,4.43,3
Cornett, Lisa ,Production Technician I,MA,2189,03/31/77,F,Married,5/1/2015,,N/A - still employed,Active,Production       ,Kelley Spirea,Billboard,Fully Meets,4.73,5
Engdahl, Jean,Production Technician I,MA,2026,05/31/74,M ,Single,10/11/2014,,N/A - still employed,Active,Production       ,Kelley Spirea,MBTA ads,Fully Meets,1.86,5
