First name,Last name,Position,State,DOB,Sex,MaritalDesc,DateofHire,TermReason,EmploymentStatus,Department,ManagerName,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,Age
Martins, Joseph,Area Sales Manager,TX,11/6/1970,M ,Single,5/14/2012,N/A - still employed,Active,Sales,Lynn Daneault,Employee Referral,Fully Meets,2.94,5,51
McKinzie, Jac,Area Sales Manager,TX,1/7/1984,M ,Married,6/7/2016,N/A - Has not started yet,Future Start,Sales,Lynn Daneault,Website Banner Ads,Fully Meets,2.91,4,38
Nguyen, Dheepa,Area Sales Manager,GA,3/31/1989,F,Single,8/7/2013,N/A - still employed,Active,Sales,Lynn Daneault,Pay Per Click - Google,Fully Meets,5,5,32
Onque, Jasmine,Area Sales Manager,FL,11/5/1990,F,Single,9/30/2013,N/A - still employed,Active,Sales,Lynn Daneault,Pay Per Click - Google,Fully Meets,4.28,3,31
Potts, Xana,Area Sales Manager,KY,8/29/1988,F,Married,9/1/2012,N/A - still employed,Active,Sales,Lynn Daneault,Website Banner Ads,Fully Meets,4.2,5,33
Riordan, Michael,Area Sales Manager,ND,1/15/1968,M ,Separated,9/1/2006,N/A - still employed,Active,Sales,Lynn Daneault,Billboard,Exceeds,4.1,3,54
Terry, Sharlene ,Area Sales Manager,OR,7/5/1965,F,Single,9/29/2014,N/A - still employed,Active,Sales,Lynn Daneault,Monster.com,Fully Meets,3.69,3,56
Rachael, Maggie,BI Developer,MA,12/5/1980,F,Married,2/10/2016,N/A - still employed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,2.02,4,41
Smith, Jason,BI Developer,MA,4/9/1983,M ,Single,2/15/2017,N/A - still employed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,3.01,5,38
Westinghouse, Matthew,BI Developer,MA,10/24/1987,M ,Married,4/20/2017,N/A - still employed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,1.82,3,34
Hubert, Robert,BI Developer,MA,6/30/1989,M ,Married,4/20/2017,N/A - still employed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,2.06,5,32
Champaigne, Brian,BI Director,MA,9/2/1972,M ,Married,6/9/2016,N/A - still employed,Active,IT/IS,Jennifer Zamora,Professional Society,Fully Meets,4.5,5,49
Zamora, Jennifer,CIO,MA,8/30/1979,F,Single,10/4/2010,N/A - still employed,Active,IT/IS,Janet King,Employee Referral,Exceeds,1.12,5,42
Roper, Katie,Data Architect,MA,11/21/1972,F,Single,7/1/2017,N/A - still employed,Active,IT/IS,Brian Champaigne,Indeed,Fully Meets,4.94,3,49
Becker, Renee,Database Administrator,MA,4/4/1986,F,Single,7/7/2014,performance,Terminated for Cause,IT/IS,Simon Roup,Search Engine - Google Bing Yahoo,Fully Meets,1.87,4,35
Goble, Taisha,Database Administrator,MA,10/23/1971,F,Single,2/16/2015,"no-call, no-show",Terminated for Cause,IT/IS,Simon Roup,Glassdoor,Fully Meets,1.87,4,50
Hernandez, Daniff,Database Administrator,MA,7/8/1986,M ,Married,2/16/2015,"no-call, no-show",Terminated for Cause,IT/IS,Simon Roup,Employee Referral,Fully Meets,4.33,3,35
Horton, Jayne,Database Administrator,MA,2/21/1984,F,Single,3/30/2015,N/A - still employed,Active,IT/IS,Simon Roup,Glassdoor,Fully Meets,4.48,5,37
Johnson, Noelle ,Database Administrator,MA,7/11/1986,F,Married,5/1/2015,N/A - still employed,Leave of Absence,IT/IS,Simon Roup,Glassdoor,Fully Meets,3.75,3,35
Murray, Thomas,Data Analyst,TX,4/7/1988,M ,Divorced,10/11/2014,N/A - still employed,Active,IT/IS,Simon Roup,Diversity Job Fair,Exceeds,4.28,4,33
Pearson, Randall,Data Analyst,MA,5/9/1984,M ,Married,1/12/2014,performance,Voluntarily Terminated,IT/IS,Simon Roup,Employee Referral,Fully Meets,1.62,4,37
Petrowsky, Thelma,Data Analyst,MA,9/16/1984,F,Married,10/11/2014,N/A - still employed,Active,IT/IS,Simon Roup,Employee Referral,Exceeds,3.71,5,37
Roby, Lori ,Data Analyst,MA,11/10/1981,F,Married,2/16/2015,N/A - still employed,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,3.69,5,40
Rogers, Ivan,Data Analyst,MA,8/26/1986,M ,Married,3/30/2015,N/A - still employed,Active,IT/IS,Simon Roup,Pay Per Click - Google,Fully Meets,3.04,3,35
Salter, Jason,Data Analyst,MA,12/17/1987,M ,Divorced,5/1/2015,hours,Voluntarily Terminated,IT/IS,Simon Roup,Vendor Referral,Fully Meets,2.19,3,34
Simard, Kramer,Data Analyst,MA,8/2/1970,M ,Married,5/1/2015,N/A - still employed,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,3.32,3,51
Zhou, Julia,Data Analyst,MA,2/24/1979,F,Single,3/30/2015,N/A - still employed,Active,IT/IS,Simon Roup,Employee Referral,Fully Meets,5,3,42
Bramante, Elisa,Director of Operations,MA,3/19/1983,F,Single,5/1/2009,N/A - still employed,Active,Production,Janet King,Other,Exceeds,3.02,5,38
Houlihan, Debra,Director of Sales,RI,3/17/1966,F,Married,5/5/2014,N/A - still employed,Active,Sales,Janet King,MBTA ads,Fully Meets,1.22,4,55
Foss, Jason,IT Director,MA,5/7/1980,M ,Single,4/15/2011,N/A - still employed,Active,IT/IS,Jennifer Zamora,Professional Society,Exceeds,3.76,5,41
Roup,Simon,IT Manager - DB,MA,5/4/1973,M ,Single,1/20/2013,N/A - still employed,Active,IT/IS,Jennifer Zamora,Professional Society,Fully Meets,2.96,5,48
Ruiz, Ricardo,IT Manager - DB,MA,4/1/1964,M ,Divorced,9/1/2012,hours,Voluntarily Terminated,IT/IS,Jennifer Zamora,Diversity Job Fair,Fully Meets,2.51,4,57
Monroe, Peter,IT Manager - Infra,MA,5/10/1986,M ,Married,2/15/2012,N/A - still employed,Active,IT/IS,Jennifer Zamora,Diversity Job Fair,Needs Improvement,2.39,3,35
Dougall, Eric,IT Manager - Support,MA,9/7/1970,M ,Single,5/1/2014,N/A - still employed,Active,IT/IS,Jennifer Zamora,Professional Society,Exceeds,1.99,5,51
Clayton, Rick,IT Support,MA,5/9/1985,M ,Single,5/9/2012,N/A - still employed,Active,IT/IS,Eric Dougall,Glassdoor,Fully Meets,2.55,3,36
Galia, Lisa,IT Support,CT,6/7/1968,F,Single,1/5/2010,N/A - still employed,Active,IT/IS,Eric Dougall,Vendor Referral,Fully Meets,1.21,4,53
Lindsay, Leonara ,IT Support,CT,5/10/1988,F,Single,1/21/2011,N/A - still employed,Active,IT/IS,Eric Dougall,Diversity Job Fair,Exceeds,4.64,4,33
Soto, Julia ,IT Support,MA,12/3/1973,F,Married,10/6/2011,N/A - still employed,Active,IT/IS,Eric Dougall,Information Session,Fully Meets,4.3,3,48
Bacong, Alejandro ,IT Support,MA,7/1/1988,M ,Divorced,5/1/2015,N/A - still employed,Active,IT/IS,Peter Monroe,Glassdoor,Fully Meets,1.84,5,33
Cisco, Anthony,IT Support,MA,11/24/1989,M ,Married,3/30/2015,N/A - still employed,Active,IT/IS,Peter Monroe,Information Session,Fully Meets,2.21,5,32
Dolan, Linda,IT Support,MA,7/18/1988,F,Married,5/1/2015,N/A - still employed,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.11,4,33
Gonzalez, Maria,IT Support,MA,4/16/1981,F,Separated,5/1/2015,N/A - still employed,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,4.61,4,40
Merlos, Carlos,Network Engineer,MA,6/18/1987,M ,Single,3/30/2015,N/A - still employed,Active,IT/IS,Peter Monroe,Vendor Referral,PIP,1.2,3,34
Morway, Tanya,Network Engineer,MA,4/4/1979,F,Married,2/16/2015,N/A - still employed,Active,IT/IS,Peter Monroe,Monster.com,Fully Meets,3.81,3,42
Shepard, Anita ,Network Engineer,MA,4/14/1981,F,Married,9/30/2014,N/A - still employed,Active,IT/IS,Peter Monroe,Vendor Referral,Fully Meets,3.31,3,40
Tredinnick, Neville ,Network Engineer,MA,5/5/1988,M ,Married,5/1/2015,medical issues,Voluntarily Terminated,IT/IS,Peter Monroe,Monster.com,Fully Meets,5,3,33
Turpin, Jumil,Network Engineer,MA,3/31/1969,M ,Married,3/30/2015,N/A - still employed,Active,IT/IS,Peter Monroe,Employee Referral,Fully Meets,5,4,52
King, Janet,President & CEO,MA,9/21/1954,F,Married,2/7/2012,N/A - still employed,Active,Executive Office,Board of Directors,Pay Per Click - Google,Fully Meets,4.83,3,67
Albert, Michael  ,Production Manager,MA,10/10/1968,M ,Divorced,1/8/2011,N/A - still employed,Active,Production,Janet King,Employee Referral,Fully Meets,3.93,3,53
Bozzi, Charles,Production Manager,MA,10/3/1970,M ,Single,9/30/2013,retiring,Voluntarily Terminated,Production,Janet King,Billboard,Fully Meets,3.39,3,51
Butler, Webster  L,Production Manager,MA,9/8/1983,M ,Single,1/28/2016,N/A - still employed,Active,Production,Janet King,Pay Per Click - Google,Exceeds,5,3,38
Dunn, Amy  ,Production Manager,MA,11/28/1973,F,Single,9/18/2014,N/A - still employed,Active,Production,Janet King,Search Engine - Google Bing Yahoo,Fully Meets,4.52,4,48
Gray, Elijiah  ,Production Manager,MA,11/7/1981,M ,Divorced,2/6/2015,N/A - still employed,Active,Production,Janet King,Employee Referral,Fully Meets,4.63,3,40
Hogland, Jonathan ,Production Manager,MA,1/7/1972,M ,Married,10/1/2011,attendance,Terminated for Cause,Production,Janet King,Employee Referral,Fully Meets,4.78,4,50
Immediato, Walter,Production Manager,MA,11/15/1976,M ,Married,2/21/2011,unhappy,Voluntarily Terminated,Production,Janet King,Other,Needs Improvement,2.34,2,45
Liebig, Ketsia,Production Manager,MA,10/26/1981,F,Married,9/30/2013,N/A - still employed,Active,Production,Janet King,Website Banner Ads,Exceeds,3.66,3,40
Miller, Brannon,Production Manager,MA,10/8/1981,M ,Single,8/16/2012,N/A - still employed,Active,Production,Janet King,Internet Search,Fully Meets,4.37,3,40
Peterson, Ebonee  ,Production Manager,MA,9/5/1977,F,Married,10/25/2010,Another position,Voluntarily Terminated,Production,Janet King,Internet Search,Fully Meets,4.16,5,44
Spirea, Kelley,Production Manager,MA,9/30/1975,F,Married,2/10/2012,N/A - still employed,Active,Production,Janet King,Vendor Referral,Fully Meets,4.83,5,46
Stanley, David ,Production Manager,MA,12/17/1975,M ,Divorced,7/20/2010,N/A - still employed,Active,Production,Janet King,Monster.com,Needs Improvement,4.13,2,46
Sullivan, Kissy ,Production Manager,MA,3/28/1978,F,Married,8/1/2009,N/A - still employed,Active,Production,Janet King,Billboard,Fully Meets,3.73,4,43
Wallace, Courtney  E,Production Manager,MA,11/14/1955,F,Married,9/26/2011,Another position,Voluntarily Terminated,Production,Janet King,Diversity Job Fair,Fully Meets,1.18,3,66
Anderson, Linda  ,Production Technician I,MA,5/22/1977,F,Single,9/1/2012,N/A - still employed,Active,Production,Amy Dunn,MBTA ads,Exceeds,5,5,44
Bernstein, Sean,Production Technician I,MA,12/22/1970,M ,Single,2/4/2012,N/A - still employed,Active,Production,Amy Dunn,Word of Mouth,Fully Meets,5,3,51
Chivukula, Enola,Production Technician I,MA,8/27/1983,F,Single,6/27/2011,relocation out of area,Voluntarily Terminated,Production,Amy Dunn,Other,Fully Meets,2,4,38
Desimone, Carl ,Production Technician I,MA,4/19/1967,M ,Married,7/7/2014,N/A - still employed,Active,Production,Amy Dunn,Professional Society,PIP,1.12,2,54
Fernandes, Nilson  ,Production Technician I,MA,10/18/1989,M ,Married,11/5/2015,N/A - still employed,Active,Production,Amy Dunn,Professional Society,PIP,1.56,5,32
Girifalco, Evelyn,Production Technician I,MA,8/5/1980,F,Single,9/29/2014,N/A - still employed,Active,Production,Amy Dunn,Professional Society,Exceeds,3.39,4,41
Harrison, Kara,Production Technician I,MA,2/5/1974,F,Married,12/5/2014,N/A - still employed,Active,Production,Amy Dunn,Monster.com,Exceeds,4.76,4,47
Kirill, Alexandra  ,Production Technician I,MA,8/10/1970,F,Married,9/26/2011,more money,Voluntarily Terminated,Production,Amy Dunn,Search Engine - Google Bing Yahoo,Fully Meets,3.49,4,51
MacLennan, Samuel,Production Technician I,MA,9/11/1972,M ,Widowed,9/24/2012,hours,Voluntarily Terminated,Production,Amy Dunn,Pay Per Click,Fully Meets,3.08,4,49
Ndzi, Horia,Production Technician I,MA,3/28/1983,M ,Married,1/4/2013,more money,Voluntarily Terminated,Production,Amy Dunn,Employee Referral,Fully Meets,3.18,3,38
Perry, Shakira,Production Technician I,MA,7/20/1986,F,Single,5/16/2011,medical issues,Voluntarily Terminated,Production,Amy Dunn,MBTA ads,Fully Meets,3.45,4,35
Robinson, Alain  ,Production Technician I,MA,7/1/1974,M ,Married,10/1/2011,attendance,Voluntarily Terminated,Production,Amy Dunn,Glassdoor,Fully Meets,5,3,47
Shields, Seffi,Production Technician I,MA,8/24/1985,F,Married,8/19/2013,N/A - still employed,Active,Production,Amy Dunn,Newspager/Magazine,Fully Meets,4.81,4,36
Theamstern, Sophia,Production Technician I,MA,9/5/1965,F,Single,5/7/2011,return to school,Voluntarily Terminated,Production,Amy Dunn,Billboard,Fully Meets,3.98,4,56
Wilber, Barry,Production Technician I,MA,9/9/1965,M ,Married,5/16/2011,unhappy,Voluntarily Terminated,Production,Amy Dunn,Website Banner Ads,Fully Meets,5,3,56
Bachiochi, Linda,Production Technician I,MA,11/2/1970,F,Single,6/7/2009,N/A - still employed,Leave of Absence,Production,Brannon Miller,Diversity Job Fair,Fully Meets,4.46,3,51
Billis, Helen,Production Technician I,MA,1/9/1989,F,Married,7/7/2014,N/A - still employed,Active,Production,Brannon Miller,Professional Society,Exceeds,5,3,33
Clukey, Elijian,Production Technician I,MA,8/26/1980,M ,Married,6/7/2016,N/A - Has not started yet,Future Start,Production,Brannon Miller,Employee Referral,Exceeds,1.97,4,41
DiNocco, Lily ,Production Technician I,MA,2/12/1978,F,Married,7/1/2013,N/A - still employed,Active,Production,Brannon Miller,Pay Per Click - Google,Needs Improvement,3.88,4,43
Fidelia,  Libby,Production Technician I,MA,3/16/1981,F,Married,9/1/2012,N/A - still employed,Active,Production,Brannon Miller,Social Networks - Facebook Twitter etc,Fully Meets,5,5,40
Gonzalez, Cayo,Production Technician I,MA,9/29/1969,M ,Divorced,11/7/2011,N/A - still employed,Active,Production,Brannon Miller,Diversity Job Fair,Exceeds,1.83,4,52
Ivey, Rose ,Production Technician I,MA,1/28/1991,F,Single,8/19/2013,N/A - still employed,Active,Production,Brannon Miller,Professional Society,Fully Meets,3.99,3,30
Kretschmer, John,Production Technician I,MA,2/2/1980,M ,Married,10/1/2011,N/A - still employed,Active,Production,Brannon Miller,Pay Per Click - Google,Fully Meets,3.38,3,41
Mangal, Debbie,Production Technician I,MA,7/11/1974,F,Married,11/11/2013,N/A - still employed,Active,Production,Brannon Miller,On-campus Recruiting,Fully Meets,1.04,3,47
Ngodup, Shari ,Production Technician I,MA,3/6/1967,F,Separated,1/4/2013,N/A - still employed,Active,Production,Brannon Miller,Diversity Job Fair,Exceeds,1.12,3,54
Pham, Hong,Production Technician I,MA,6/3/1988,M ,Married,5/7/2011,more money,Voluntarily Terminated,Production,Brannon Miller,Search Engine - Google Bing Yahoo,Fully Meets,5,3,33
Robinson, Elias,Production Technician I,MA,1/28/1985,M ,Widowed,8/7/2013,N/A - still employed,Active,Production,Brannon Miller,Employee Referral,Exceeds,3.02,5,36
Sparks, Taylor  ,Production Technician I,MA,7/20/1968,F,Married,2/20/2012,N/A - still employed,Active,Production,Brannon Miller,Billboard,PIP,4.11,2,53
Tippett, Jeanette,Production Technician I,MA,5/6/1967,F,Divorced,2/18/2013,N/A - still employed,Active,Production,Brannon Miller,Billboard,Fully Meets,4.21,5,54
Ybarra, Catherine ,Production Technician I,MA,4/5/1982,F,Single,2/9/2008,Another position,Voluntarily Terminated,Production,Brannon Miller,Search Engine - Google Bing Yahoo,PIP,4.29,2,39
Baczenski, Rachael  ,Production Technician I,MA,12/1/1974,F,Married,10/1/2011,Another position,Voluntarily Terminated,Production,David Stanley,Diversity Job Fair,Fully Meets,1.79,4,47
Brill, Donna,Production Technician I,MA,8/24/1990,F,Married,2/4/2012,Another position,Voluntarily Terminated,Production,David Stanley,Search Engine - Google Bing Yahoo,Fully Meets,3.35,4,31
Cockel, James,Production Technician I,MA,8/9/1977,M ,Single,8/7/2013,N/A - still employed,Active,Production,David Stanley,Employee Referral,Fully Meets,1.51,5,44
Dobrin, Denisa  S,Production Technician I,MA,7/10/1986,F,Single,2/4/2012,N/A - still employed,Active,Production,David Stanley,Monster.com,Fully Meets,2.79,5,35
Garcia, Raul,Production Technician I,MA,9/15/1985,M ,Single,3/30/2015,N/A - still employed,Active,Production,David Stanley,Employee Referral,Fully Meets,4.5,3,36
Gordon, David,Production Technician I,MA,5/21/1979,M ,Married,2/7/2012,N/A - still employed,Active,Production,David Stanley,MBTA ads,Fully Meets,5,3,42
Jackson, Maryellen,Production Technician I,MA,11/9/1972,F,Single,5/11/2012,N/A - still employed,Active,Production,David Stanley,Newspager/Magazine,Fully Meets,2.32,3,49
Langton, Enrico,Production Technician I,MA,9/12/1986,M ,Married,9/7/2012,N/A - still employed,Active,Production,David Stanley,Newspager/Magazine,Fully Meets,5,5,35
Maurice, Shana,Production Technician I,MA,11/22/1977,F,Married,5/31/2011,N/A - still employed,Active,Production,David Stanley,Other,Fully Meets,5,4,44
Nguyen, Lei-Ming,Production Technician I,MA,7/7/1984,F,Single,8/7/2013,N/A - still employed,Active,Production,David Stanley,Vendor Referral,Fully Meets,2.79,5,37
Pitt, Brad ,Production Technician I,MA,11/23/1981,M ,Single,5/11/2007,N/A - still employed,Active,Production,David Stanley,Search Engine - Google Bing Yahoo,Fully Meets,3.66,3,40
Rose, Ashley  ,Production Technician I,MA,5/12/1974,F,Separated,6/1/2014,N/A - still employed,Active,Production,David Stanley,Website Banner Ads,Fully Meets,5,4,47
Squatrito, Kristen,Production Technician I,MA,3/26/1973,F,Divorced,5/13/2013,unhappy,Voluntarily Terminated,Production,David Stanley,MBTA ads,Exceeds,1.97,4,48
Trang, Mei,Production Technician I,MA,5/16/1983,F,Single,2/17/2014,N/A - still employed,Active,Production,David Stanley,Professional Society,Needs Improvement,2.44,5,38
Zima, Colleen,Production Technician I,MA,8/17/1978,F,Widowed,9/29/2014,N/A - still employed,Active,Production,David Stanley,On-campus Recruiting,Fully Meets,1.24,5,43
Alagbe,Trina,Production Technician I,MA,9/27/1988,F,Married,7/1/2008,N/A - still employed,Active,Production,Elijiah Gray,Billboard,Fully Meets,4.84,5,33
Beatrice, Courtney ,Production Technician I,MA,10/27/1970,F,Single,4/4/2011,N/A - still employed,Active,Production,Elijiah Gray,Search Engine - Google Bing Yahoo,Fully Meets,5,5,51
Chan, Lin,Production Technician I,MA,12/2/1979,F,Single,12/5/2014,N/A - still employed,Active,Production,Elijiah Gray,Internet Search,Fully Meets,2.73,4,42
Darson, Jene'ya ,Production Technician I,MA,5/11/1978,F,Married,2/7/2012,N/A - still employed,Active,Production,Elijiah Gray,Billboard,Fully Meets,5,3,43
Evensen, April,Production Technician I,MA,6/5/1989,F,Single,2/17/2014,"no-call, no-show",Terminated for Cause,Production,Elijiah Gray,Word of Mouth,Needs Improvement,1.04,3,32
Gerke, Melisa,Production Technician I,MA,5/15/1970,F,Divorced,7/11/2011,hours,Voluntarily Terminated,Production,Elijiah Gray,Diversity Job Fair,Fully Meets,4.24,4,51
Harrell, Ludwick,Production Technician I,MA,2/9/1982,M ,Married,5/14/2012,N/A - still employed,Active,Production,Elijiah Gray,Search Engine - Google Bing Yahoo,Fully Meets,1.83,3,39
Jung, Judy  ,Production Technician I,MA,4/17/1986,F,Married,10/1/2011,unhappy,Voluntarily Terminated,Production,Elijiah Gray,Monster.com,Fully Meets,4,4,35
Lydon, Allison,Production Technician I,MA,10/22/1975,F,Married,2/16/2015,N/A - still employed,Leave of Absence,Production,Elijiah Gray,Website Banner Ads,Fully Meets,5,3,46
Motlagh,  Dawn,Production Technician I,MA,7/7/1984,F,Divorced,1/4/2013,N/A - still employed,Active,Production,Elijiah Gray,MBTA ads,Fully Meets,1.76,4,37
Panjwani, Nina,Production Technician I,MA,1/5/1979,F,Married,7/2/2011,Another position,Voluntarily Terminated,Production,Elijiah Gray,Social Networks - Facebook Twitter etc,Fully Meets,3.89,4,43
Rhoads, Thomas,Production Technician I,MA,7/22/1982,M ,Divorced,5/16/2011,retiring,Voluntarily Terminated,Production,Elijiah Gray,Professional Society,Fully Meets,5,4,39
Sander, Kamrin,Production Technician I,MA,10/7/1988,F,Married,9/29/2014,N/A - still employed,Active,Production,Elijiah Gray,On-campus Recruiting,Fully Meets,3.51,3,33
Sutwell, Barbara,Production Technician I,MA,8/15/1968,F,Single,5/14/2012,N/A - still employed,Active,Production,Elijiah Gray,Glassdoor,Fully Meets,2.77,5,53
Wallace, Theresa,Production Technician I,MA,2/8/1980,F,Single,8/13/2012,career change,Voluntarily Terminated,Production,Elijiah Gray,Monster.com,Needs Improvement,1.27,3,41
Barone, Francesco  A,Production Technician I,MA,7/20/1983,M ,Single,2/20/2012,N/A - still employed,Active,Production,Kelley Spirea,Social Networks - Facebook Twitter etc,Fully Meets,1.41,4,38
Carey, Michael  ,Production Technician I,MA,2/2/1983,M ,Single,3/31/2014,N/A - still employed,Active,Production,Kelley Spirea,MBTA ads,Fully Meets,4.43,3,38
Cornett, Lisa ,Production Technician I,MA,3/31/1977,F,Married,5/1/2015,N/A - still employed,Active,Production,Kelley Spirea,Billboard,Fully Meets,4.73,5,44
Engdahl, Jean,Production Technician I,MA,5/31/1974,M ,Single,10/11/2014,N/A - still employed,Active,Production,Kelley Spirea,MBTA ads,Fully Meets,1.86,5,47
England, Rex,Production Technician I,MA,8/25/1978,M ,Married,3/31/2014,N/A - still employed,Active,Production,Kelley Spirea,Employee Referral,Fully Meets,2.05,3,43
Gaul, Barbara,Production Technician I,MA,2/12/1983,F,Single,5/16/2011,N/A - still employed,Active,Production,Kelley Spirea,MBTA ads,Fully Meets,1.66,4,38
Gross, Paula,Production Technician I,MA,5/21/1983,F,Divorced,2/21/2011,more money,Voluntarily Terminated,Production,Kelley Spirea,Monster.com,Fully Meets,5,5,38
Jhaveri, Sneha  ,Production Technician I,MA,4/13/1964,F,Separated,6/1/2014,N/A - still employed,Active,Production,Kelley Spirea,On-campus Recruiting,Fully Meets,5,5,57
LeBel, Jonathan  R,Production Technician I,MA,10/18/1981,M ,Single,2/21/2011,attendance,Terminated for Cause,Production,Kelley Spirea,Social Networks - Facebook Twitter etc,Fully Meets,5,4,40
Meads, Elizabeth,Production Technician I,MA,5/30/1968,F,Single,2/4/2012,Another position,Voluntarily Terminated,Production,Kelley Spirea,Diversity Job Fair,Fully Meets,4.18,4,53
Osturnka, Adeel,Production Technician I,MA,11/12/1976,M ,Married,9/30/2013,N/A - still employed,Active,Production,Kelley Spirea,On-campus Recruiting,Exceeds,2.86,3,45
Punjabhi, Louis  ,Production Technician I,MA,6/19/1961,M ,Single,6/1/2014,N/A - still employed,Active,Production,Kelley Spirea,Employee Referral,Fully Meets,2.45,3,60
